Date,RIC,Combined Alpha Sector Rank
2015-04-08,ADUS.OQ,67
2015-04-08,AEE.N,82
2015-04-08,AEHR.OQ,2
2015-04-08,AEIS.OQ,93
2015-04-08,AEO.N,98
2015-04-08,AEP.OQ,85
2015-04-08,AES.N,66
2015-04-08,AFG.N,72
2015-04-09,A.N,76
2015-04-09,AAL.OQ,72
2015-04-09,AAOI.OQ,19
2015-04-09,AAON.OQ,18
2015-04-09,AAP.N,23
2015-04-09,AAPL.OQ,92
2015-04-09,ABBV.N,96
2015-04-09,ABCB.N,63
2015-04-09,ABG.N,26
2015-04-09,ABM.N,77
2015-04-09,ABR.N,92
2015-04-09,ABT.N,91
2015-04-09,ACAD.OQ,7
2015-04-09,ACGL.OQ,78
2015-04-09,ACHC.OQ,30
2015-04-09,ACIW.OQ,34
2015-04-09,ACLS.OQ,26
2015-04-09,ACM.N,43
2015-04-09,ACN.N,62
2015-04-09,ADBE.OQ,50
2015-04-09,ADC.N,90
2015-04-09,ADEA.OQ,89
2015-04-09,ADI.OQ,63
2015-04-09,ADM.N,93
2015-04-09,ADMA.OQ,28
2015-04-09,ADP.OQ,70
2015-04-09,ADSK.OQ,30
2015-04-09,ADUS.OQ,66
2015-04-09,AEE.N,82
2015-04-09,AEHR.OQ,3
2015-04-09,AEIS.OQ,92
2015-04-09,AEO.N,97
2015-04-09,AEP.OQ,83
2015-04-09,AES.N,67
2015-04-09,AFG.N,73
2015-04-10,A.N,74
2015-04-10,AAL.OQ,68
2015-04-10,AAOI.OQ,20
2015-04-10,AAON.OQ,16
2015-04-10,AAP.N,22
2015-04-10,AAPL.OQ,89
2015-04-10,ABBV.N,96
2015-04-10,ABCB.N,62
2015-04-10,ABG.N,25
2015-04-10,ABM.N,82
2015-04-10,ABR.N,93
2015-04-10,ABT.N,90
2015-04-10,ACAD.OQ,8
2015-04-10,ACGL.OQ,74
2015-04-10,ACHC.OQ,29
2015-04-10,ACIW.OQ,34
2015-04-10,ACLS.OQ,26
2015-04-10,ACM.N,37
2015-04-10,ACN.N,65
2015-04-10,ADBE.OQ,49
2015-04-10,ADC.N,89
2015-04-10,ADEA.OQ,89
2015-04-10,ADI.OQ,62
2015-04-10,ADM.N,93
2015-04-10,ADMA.OQ,27
2015-04-10,ADP.OQ,71
2015-04-10,ADSK.OQ,30
2015-04-10,ADUS.OQ,62
2015-04-10,AEE.N,85
2015-04-10,AEHR.OQ,4
2015-04-10,AEIS.OQ,90
2015-04-10,AEO.N,97
2015-04-10,AEP.OQ,86
2015-04-10,AES.N,63
2015-04-10,AFG.N,72
2015-04-13,A.N,72
2015-04-13,AAL.OQ,60
2015-04-13,AAOI.OQ,19
2015-04-13,AAON.OQ,21
2015-04-13,AAP.N,22
2015-04-13,AAPL.OQ,91
2015-04-13,ABBV.N,99
2015-04-13,ABCB.N,63
2015-04-13,ABG.N,25
2015-04-13,ABM.N,82
2015-04-13,ABR.N,93
2015-04-13,ABT.N,92
2015-04-13,ACAD.OQ,11
2015-04-13,ACGL.OQ,75
2015-04-13,ACHC.OQ,29
2015-04-13,ACIW.OQ,35
2015-04-13,ACLS.OQ,27
2015-04-13,ACM.N,38
2015-04-13,ACN.N,67
2015-04-13,ADBE.OQ,50
2015-04-13,ADC.N,90
2015-04-13,ADEA.OQ,89
2015-04-13,ADI.OQ,61
2015-04-13,ADM.N,89
2015-04-13,ADMA.OQ,29
2015-04-13,ADP.OQ,73
2015-04-13,ADSK.OQ,33
2015-04-13,ADUS.OQ,65
2015-04-13,AEE.N,82
2015-04-13,AEHR.OQ,5
2015-04-13,AEIS.OQ,92
2015-04-13,AEO.N,97
2015-04-13,AEP.OQ,88
2015-04-13,AES.N,67
2015-04-13,AFG.N,73
2015-04-14,A.N,69
2015-04-14,AAL.OQ,64
2015-04-14,AAOI.OQ,16
2015-04-14,AAON.OQ,20
2015-04-14,AAP.N,22
2015-04-14,AAPL.OQ,89
2015-04-14,ABBV.N,99
2015-04-14,ABCB.N,64
2015-04-14,ABG.N,24
2015-04-14,ABM.N,82
2015-04-14,ABR.N,93
2015-04-14,ABT.N,91
2015-04-14,ACAD.OQ,11
2015-04-14,ACGL.OQ,74
2015-04-14,ACHC.OQ,29
2015-04-14,ACIW.OQ,35
2015-04-14,ACLS.OQ,27
2015-04-14,ACM.N,40
2015-04-14,ACN.N,68
2015-04-14,ADBE.OQ,49
2015-04-14,ADC.N,90
2015-04-14,ADEA.OQ,89
2015-04-14,ADI.OQ,64
2015-04-14,ADM.N,90
2015-04-14,ADMA.OQ,29
2015-04-14,ADP.OQ,73
2015-04-14,ADSK.OQ,30
2015-04-14,ADUS.OQ,64
2015-04-14,AEE.N,82
2015-04-14,AEHR.OQ,3
2015-04-14,AEIS.OQ,93
2015-04-14,AEO.N,98
2015-04-14,AEP.OQ,86
2015-04-14,AES.N,65
2015-04-14,AFG.N,67
2015-04-15,A.N,68
2015-04-15,AAL.OQ,60
2015-04-15,AAOI.OQ,13
2015-04-15,AAON.OQ,19
2015-04-15,AAP.N,22
2015-04-15,AAPL.OQ,91
2015-04-15,ABBV.N,99
2015-04-15,ABCB.N,58
2015-04-15,ABG.N,23
2015-04-15,ABM.N,82
2015-04-15,ABR.N,92
2015-04-15,ABT.N,92
2015-04-15,ACAD.OQ,12
2015-04-15,ACGL.OQ,76
2015-04-15,ACHC.OQ,29
2015-04-15,ACIW.OQ,34
2015-04-15,ACLS.OQ,29
2015-04-15,ACM.N,47
2015-04-15,ACN.N,69
2015-04-15,ADBE.OQ,51
2015-04-15,ADC.N,90
2015-04-15,ADEA.OQ,90
2015-04-15,ADI.OQ,60
2015-04-15,ADM.N,87
2015-04-15,ADMA.OQ,29
2015-04-15,ADP.OQ,75
2015-04-15,ADSK.OQ,30
2015-04-15,ADUS.OQ,60
2015-04-15,AEE.N,83
2015-04-15,AEHR.OQ,3
2015-04-15,AEIS.OQ,93
2015-04-15,AEO.N,98
2015-04-15,AEP.OQ,84
2015-04-15,AES.N,68
2015-04-15,AFG.N,67
2015-04-16,A.N,70
2015-04-16,AAL.OQ,53
2015-04-16,AAOI.OQ,10
2015-04-16,AAON.OQ,24
2015-04-16,AAP.N,21
2015-04-16,AAPL.OQ,90
2015-04-16,ABBV.N,99
2015-04-16,ABCB.N,58
2015-04-16,ABG.N,24
2015-04-16,ABM.N,78
2015-04-16,ABR.N,92
2015-04-16,ABT.N,93
2015-04-16,ACAD.OQ,9
2015-04-16,ACGL.OQ,77
2015-04-16,ACHC.OQ,27
2015-04-16,ACIW.OQ,34
2015-04-16,ACLS.OQ,30
2015-04-16,ACM.N,46
2015-04-16,ACN.N,70
2015-04-16,ADBE.OQ,52
2015-04-16,ADC.N,89
2015-04-16,ADEA.OQ,89
2015-04-16,ADI.OQ,60
2015-04-16,ADM.N,87
2015-04-16,ADMA.OQ,27
2015-04-16,ADP.OQ,75
2015-04-16,ADSK.OQ,33
2015-04-16,ADUS.OQ,58
2015-04-16,AEE.N,83
2015-04-16,AEHR.OQ,2
2015-04-16,AEIS.OQ,93
2015-04-16,AEO.N,98
2015-04-16,AEP.OQ,91
2015-04-16,AES.N,71
2015-04-16,AFG.N,69
2015-04-17,A.N,68
2015-04-17,AAL.OQ,52
2015-04-17,AAOI.OQ,8
2015-04-17,AAON.OQ,24
2015-04-17,AAP.N,21
2015-04-17,AAPL.OQ,90
2015-04-17,ABBV.N,98
2015-04-17,ABCB.N,59
2015-04-17,ABG.N,23
2015-04-17,ABM.N,80
2015-04-17,ABR.N,91
2015-04-17,ABT.N,92
2015-04-17,ACAD.OQ,9
2015-04-17,ACGL.OQ,79
2015-04-17,ACHC.OQ,29
2015-04-17,ACIW.OQ,33
2015-04-17,ACLS.OQ,34
2015-04-17,ACM.N,47
2015-04-17,ACN.N,70
2015-04-17,ADBE.OQ,54
2015-04-17,ADC.N,89
2015-04-17,ADEA.OQ,88
2015-04-17,ADI.OQ,59
2015-04-17,ADM.N,84
2015-04-17,ADMA.OQ,27
2015-04-17,ADP.OQ,75
2015-04-17,ADSK.OQ,30
2015-04-17,ADUS.OQ,59
2015-04-17,AEE.N,83
2015-04-17,AEHR.OQ,2
2015-04-17,AEIS.OQ,94
2015-04-17,AEO.N,98
2015-04-17,AEP.OQ,89
2015-04-17,AES.N,69
2015-04-17,AFG.N,70
2015-04-20,A.N,72
2015-04-20,AAL.OQ,52
2015-04-20,AAOI.OQ,9
2015-04-20,AAON.OQ,23
2015-04-20,AAP.N,18
2015-04-20,AAPL.OQ,91
2015-04-20,ABBV.N,98
2015-04-20,ABCB.N,60
2015-04-20,ABG.N,20
2015-04-20,ABM.N,81
2015-04-20,ABR.N,93
2015-04-20,ABT.N,91
2015-04-20,ACAD.OQ,11
2015-04-20,ACGL.OQ,79
2015-04-20,ACHC.OQ,29
2015-04-20,ACIW.OQ,33
2015-04-20,ACLS.OQ,35
2015-04-20,ACM.N,50
2015-04-20,ACN.N,72
2015-04-20,ADBE.OQ,55
2015-04-20,ADC.N,90
2015-04-20,ADEA.OQ,89
2015-04-20,ADI.OQ,60
2015-04-20,ADM.N,84
2015-04-20,ADMA.OQ,26
2015-04-20,ADP.OQ,75
2015-04-20,ADSK.OQ,31
2015-04-20,ADUS.OQ,58
2015-04-20,AEE.N,85
2015-04-20,AEHR.OQ,3
2015-04-20,AEIS.OQ,92
2015-04-20,AEO.N,98
2015-04-20,AEP.OQ,88
2015-04-20,AES.N,66
2015-04-20,AFG.N,73
2015-04-21,A.N,70
2015-04-21,AAL.OQ,55
2015-04-21,AAOI.OQ,9
2015-04-21,AAON.OQ,21
2015-04-21,AAP.N,19
2015-04-21,AAPL.OQ,92
2015-04-21,ABBV.N,99
2015-04-21,ABCB.N,61
2015-04-21,ABG.N,33
2015-04-21,ABM.N,78
2015-04-21,ABR.N,93
2015-04-21,ABT.N,90
2015-04-21,ACAD.OQ,10
2015-04-21,ACGL.OQ,78
2015-04-21,ACHC.OQ,28
2015-04-21,ACIW.OQ,32
2015-04-21,ACLS.OQ,34
2015-04-21,ACM.N,46
2015-04-21,ACN.N,74
2015-04-21,ADBE.OQ,55
2015-04-21,ADC.N,90
2015-04-21,ADEA.OQ,86
2015-04-21,ADI.OQ,59
2015-04-21,ADM.N,86
2015-04-21,ADMA.OQ,26
2015-04-21,ADP.OQ,76
2015-04-21,ADSK.OQ,31
2015-04-21,ADUS.OQ,57
2015-04-21,AEE.N,88
2015-04-21,AEHR.OQ,4
2015-04-21,AEIS.OQ,88
2015-04-21,AEO.N,98
2015-04-21,AEP.OQ,90
2015-04-21,AES.N,64
2015-04-21,AFG.N,73
2015-04-22,A.N,69
2015-04-22,AAL.OQ,56
2015-04-22,AAOI.OQ,8
2015-04-22,AAON.OQ,22
2015-04-22,AAP.N,19
2015-04-22,AAPL.OQ,91
2015-04-22,ABBV.N,99
2015-04-22,ABCB.N,65
2015-04-22,ABG.N,38
2015-04-22,ABM.N,81
2015-04-22,ABR.N,93
2015-04-22,ABT.N,89
2015-04-22,ACAD.OQ,10
2015-04-22,ACGL.OQ,78
2015-04-22,ACHC.OQ,27
2015-04-22,ACIW.OQ,33
2015-04-22,ACLS.OQ,35
2015-04-22,ACM.N,47
2015-04-22,ACN.N,74
2015-04-22,ADBE.OQ,56
2015-04-22,ADC.N,86
2015-04-22,ADEA.OQ,86
2015-04-22,ADI.OQ,61
2015-04-22,ADM.N,86
2015-04-22,ADMA.OQ,25
2015-04-22,ADP.OQ,76
2015-04-22,ADSK.OQ,32
2015-04-22,ADUS.OQ,59
2015-04-22,AEE.N,88
2015-04-22,AEHR.OQ,3
2015-04-22,AEIS.OQ,87
2015-04-22,AEO.N,98
2015-04-22,AEP.OQ,87
2015-04-22,AES.N,59
2015-04-22,AFG.N,75
2015-04-23,A.N,69
2015-04-23,AAL.OQ,55
2015-04-23,AAOI.OQ,9
2015-04-23,AAON.OQ,23
2015-04-23,AAP.N,20
2015-04-23,AAPL.OQ,91
2015-04-23,ABBV.N,100
2015-04-23,ABCB.N,68
2015-04-23,ABG.N,49
2015-04-23,ABM.N,77
2015-04-23,ABR.N,93
2015-04-23,ABT.N,89
2015-04-23,ACAD.OQ,10
2015-04-23,ACGL.OQ,77
2015-04-23,ACHC.OQ,27
2015-04-23,ACIW.OQ,32
2015-04-23,ACLS.OQ,34
2015-04-23,ACM.N,44
2015-04-23,ACN.N,73
2015-04-23,ADBE.OQ,55
2015-04-23,ADC.N,85
2015-04-23,ADEA.OQ,85
2015-04-23,ADI.OQ,63
2015-04-23,ADM.N,86
2015-04-23,ADMA.OQ,26
2015-04-23,ADP.OQ,76
2015-04-23,ADSK.OQ,31
2015-04-23,ADUS.OQ,59
2015-04-23,AEE.N,87
2015-04-23,AEHR.OQ,5
2015-04-23,AEIS.OQ,88
2015-04-23,AEO.N,98
2015-04-23,AEP.OQ,92
2015-04-23,AES.N,62
2015-04-23,AFG.N,74
2015-04-24,A.N,69
2015-04-24,AAL.OQ,43
2015-04-24,AAOI.OQ,9
2015-04-24,AAON.OQ,25
2015-04-24,AAP.N,20
2015-04-24,AAPL.OQ,90
2015-04-24,ABBV.N,99
2015-04-24,ABCB.N,34
2015-04-24,ABG.N,46
2015-04-24,ABM.N,77
2015-04-24,ABR.N,92
2015-04-24,ABT.N,89
2015-04-24,ACAD.OQ,10
2015-04-24,ACGL.OQ,77
2015-04-24,ACHC.OQ,28
2015-04-24,ACIW.OQ,33
2015-04-24,ACLS.OQ,32
2015-04-24,ACM.N,44
2015-04-24,ACN.N,74
2015-04-24,ADBE.OQ,55
2015-04-24,ADC.N,88
2015-04-24,ADEA.OQ,86
2015-04-24,ADI.OQ,63
2015-04-24,ADM.N,87
2015-04-24,ADMA.OQ,29
2015-04-24,ADP.OQ,75
2015-04-24,ADSK.OQ,33
2015-04-24,ADUS.OQ,55
2015-04-24,AEE.N,88
2015-04-24,AEHR.OQ,5
2015-04-24,AEIS.OQ,90
2015-04-24,AEO.N,97
2015-04-24,AEP.OQ,84
2015-04-24,AES.N,63
2015-04-24,AFG.N,72
2015-04-27,A.N,67
2015-04-27,AAL.OQ,29
2015-04-27,AAOI.OQ,9
2015-04-27,AAON.OQ,24
2015-04-27,AAP.N,19
2015-04-27,AAPL.OQ,91
2015-04-27,ABBV.N,98
2015-04-27,ABCB.N,50
2015-04-27,ABG.N,47
2015-04-27,ABM.N,76
2015-04-27,ABR.N,92
2015-04-27,ABT.N,92
2015-04-27,ACAD.OQ,12
2015-04-27,ACGL.OQ,77
2015-04-27,ACHC.OQ,29
2015-04-27,ACIW.OQ,34
2015-04-27,ACLS.OQ,30
2015-04-27,ACM.N,42
2015-04-27,ACN.N,71
2015-04-27,ADBE.OQ,56
2015-04-27,ADC.N,86
2015-04-27,ADEA.OQ,87
2015-04-27,ADI.OQ,64
2015-04-27,ADM.N,85
2015-04-27,ADMA.OQ,28
2015-04-27,ADP.OQ,74
2015-04-27,ADSK.OQ,33
2015-04-27,ADUS.OQ,59
2015-04-27,AEE.N,95
2015-04-27,AEHR.OQ,3
2015-04-27,AEIS.OQ,92
2015-04-27,AEO.N,98
2015-04-27,AEP.OQ,82
2015-04-27,AES.N,66
2015-04-27,AFG.N,78
2015-04-28,A.N,64
2015-04-28,AAL.OQ,30
2015-04-28,AAOI.OQ,10
2015-04-28,AAON.OQ,30
2015-04-28,AAP.N,19
2015-04-28,AAPL.OQ,94
2015-04-28,ABBV.N,98
2015-04-28,ABCB.N,52
2015-04-28,ABG.N,53
2015-04-28,ABM.N,74
2015-04-28,ABR.N,92
2015-04-28,ABT.N,91
2015-04-28,ACAD.OQ,13
2015-04-28,ACGL.OQ,78
2015-04-28,ACHC.OQ,30
2015-04-28,ACIW.OQ,35
2015-04-28,ACLS.OQ,28
2015-04-28,ACM.N,45
2015-04-28,ACN.N,68
2015-04-28,ADBE.OQ,58
2015-04-28,ADC.N,89
2015-04-28,ADEA.OQ,90
2015-04-28,ADI.OQ,62
2015-04-28,ADM.N,85
2015-04-28,ADMA.OQ,28
2015-04-28,ADP.OQ,74
2015-04-28,ADSK.OQ,36
2015-04-28,ADUS.OQ,62
2015-04-28,AEE.N,94
2015-04-28,AEHR.OQ,3
2015-04-28,AEIS.OQ,88
2015-04-28,AEO.N,98
2015-04-28,AEP.OQ,88
2015-04-28,AES.N,67
2015-04-28,AFG.N,77
2015-04-29,A.N,66
2015-04-29,AAL.OQ,32
2015-04-29,AAOI.OQ,10
2015-04-29,AAON.OQ,30
2015-04-29,AAP.N,18
2015-04-29,AAPL.OQ,96
2015-04-29,ABBV.N,98
2015-04-29,ABCB.N,52
