index,Instrument,Company Common Name,Company Market Cap,TRBC Economic Sector Name,Book Value Per Share,Enterprise Value To EBITDA (Daily Time Series Ratio),Revenue,Free Cash Flow,Dividend yield,Currency
50,GASI.MI,Assicurazioni Generali SpA,51948790618.96,Financials,21.1809849768,13.4993463694037,,-424000000.0,4.89260143198091,EUR
51,ICGIN.L,ICG PLC,4329032179.04806,Financials,8.6727351906,13.0409346439212,960700000,233600000.0,5.64926372155288,GBp
52,HUH1V.HE,Huhtamaki Oyj,3039289200.61403,Basic Materials,17.6127583467,6.2674484361949,3960200000,127300000.0,4.04829545454545,EUR
53,ENT.L,Entain PLC,3470346970.10607,Consumer Cyclicals,1.391555903,6.94175825100728,5259400000,-531100000.0,3.63232023721275,GBp
54,PHP.L,Primary Health Properties PLC,2335580775.9,Real Estate,1.4244283324,26.5263244146226,259000000,-24000000.0,9.04861111111111,GBp
55,LTMC.MI,Lottomatica Group SpA,6285727691.76,Consumer Cyclicals,1.3062889816,9.65396899697701,2247116000,133813000.0,1.76140912730184,EUR
56,SOBIV.ST,Swedish Orphan Biovitrum AB (publ),138325725607.127,Healthcare,109.2159630494,12.9435167992281,28238000000,808000000.0,0.0,SEK
57,SN.L,Smith & Nephew PLC,10139179408.65,Healthcare,6.1003460208,10.1398388619004,6164000000,436000000.0,2.45729530999503,GBp
58,ULVR.L,Unilever PLC,97874788931.97,Consumer Non-Cyclicals,7.1108058608,12.0665173883683,50503000000,1830000000.0,3.85073668936265,GBp
59,CSG.AS,CSG NV,23426664822.4988,Industrials,1.180578,16.7359515834301,4008614000,582874000.0,,EUR
60,AM.PA,Dassault Aviation SA,24128714853.4919,Industrials,85.2786302027,17.6230350826643,7425969000,619365000.0,1.54193548387097,EUR
61,GAW.L,Games Workshop Group PLC,5914287357.49088,Consumer Cyclicals,8.5186421139,17.6432773108729,617500000,27700000.0,2.21207865168539,GBp
62,GALP.LS,Galp Energia SGPS SA,13919756732.8311,Energy,5.863342241,6.03832714814762,20081000000,472000000.0,3.17537860283342,EUR
63,P911_p.DE,Dr Ing hc F Porsche AG,17145020000.0,Consumer Cyclicals,25.2371020856,3.43557997970916,36272000000,-944000000.0,6.13708820403826,EUR
64,VEND.OL,Vend Marketplaces ASA,49994193833.9808,Consumer Cyclicals,113.3882113162,23.7257465435728,6317000000,-1581000000.0,1.09553023663453,NOK
65,EXHO.PA,Sodexo SA,6291424827.89344,Consumer Cyclicals,25.9289228368,6.07399169999588,24074000000,475000000.0,6.33802816901408,EUR
66,HLMA.L,Halma PLC,14200739302.9094,Technology,5.030190678,24.2380665742899,2248100000,273400000.0,0.638440860215054,GBp
67,INWT.MI,Infrastrutture Wireless Italiane SpA,6346785353.8604,Technology,4.3476311032,11.5830559589435,1036036000,-185933000.0,7.58235294117647,EUR
68,GFCP.PA,Gecina SA,5026245746.39768,Real Estate,142.7264618956,18.0732120978695,712614000,-914507000.0,8.41622035195103,EUR
69,WISEa.L,Wise PLC,9297459347.24328,Industrials,1.3429567913,5.95120319102885,1645000000,400600000.0,,GBp
70,KYGa.I,Kerry Group PLC,10701523267.9835,Consumer Non-Cyclicals,36.1701610453,10.5830630835265,6757600000,491900000.0,2.09580838323353,EUR
71,WALLb.ST,Wallenstam AB,23240619350.1162,Real Estate,50.0183430002,27.9035703776361,3256000000,2320000000.0,1.4037774374681,SEK
72,NG.L,National Grid PLC,61809445153.359,Utilities,8.0312300829,13.9874459312451,5917000000,-5831000000.0,3.81965224423777,GBp
73,PLUSP.L,Plus500 Ltd,2835389509.68,Technology,7.944991564,8.55894657144248,792400000,117400000.0,1.692066528415,GBp
74,INDUc.ST,Industrivarden AB,196444419901.907,Financials,442.2745858402,5.65600681477493,35776000000,31844000000.0,1.9358407079646,SEK
75,DANSKE.CO,Danske Bank A/S,251991589840.482,Financials,219.7185627426,24.509544693686,,10344000000.0,7.54065715233986,DKK
76,SSE.L,SSE PLC,30252029085.9507,Utilities,10.9752547307,14.4517251891584,10131900000,-1444800000.0,2.59468170829976,GBp
77,AAK.ST,AAK AB (publ),60543613654.5997,Consumer Non-Cyclicals,76.3944081612,11.0204259780609,46021000000,1717000000.0,4.02323580034423,SEK
78,SDR.L,Schroders PLC,9272207481.02472,Financials,2.8108244496,14.0243409866964,3250700000,375900000.0,3.75545851528384,GBp
79,SASY.PA,Sanofi SA,99542639903.381,Healthcare,58.4857423795,8.43092664528985,46716000000,-8000000.0,5.02500304915234,EUR
80,NSISb.CO,Novozymes A/S,157869158222.466,Basic Materials,23.29794529,16.3581737222047,4157600000,284900000.0,1.70962651236192,DKK
81,CPG.L,Compass Group PLC,34846009696.5215,Consumer Cyclicals,4.5097230407,12.672256584534,46070000000,527000000.0,2.37733071638862,GBp
82,EMSN.S,Ems Chemie Holding AG,14827736596.4634,Basic Materials,79.3064526404,22.9129393558737,1949656000,94249000.0,2.73159144893112,CHF
83,KBX.DE,Knorr Bremse AG,15579980000.0,Industrials,19.2555831266,12.8399531615925,7817000000,337000000.0,1.96585618210036,EUR
84,AIR.PA,Airbus SE,127297380194.795,Industrials,33.0487340704,14.4210575354306,73420000000,1649000000.0,1.99476374516893,EUR
85,URW.PA,Unibail-Rodamco-Westfield SE,13312552718.2237,Real Estate,123.6831983533,20.246062649634,3058400000,1048700000.0,4.87963565387118,EUR
86,LPPP.WA,Lpp SA,40495519800.0,Consumer Cyclicals,3022.2696388256,10.9561175768295,23109000000,-824000000.0,1.83318056828598,PLN
87,FORTUM.HE,Fortum Oyj,18764249755.7557,Utilities,9.5167085718,16.7554521451984,4989000000,-677000000.0,3.54406130268199,EUR
88,RBREW.CO,Royal Unibrew A/S,26498256964.3298,Consumer Non-Cyclicals,135.8339624566,14.6359023452906,15723000000,704000000.0,3.03605313092979,DKK
89,SY1G.DE,Symrise AG,10116701268.52,Basic Materials,26.6121016326,12.9338030258022,4929283000,207321000.0,1.72699640784747,EUR
90,CMBN.S,Cembra Money Bank AG,2927364847.87528,Financials,45.9064006229,16.9052123935635,,61345000.0,5.76131687242798,CHF
91,ORNBV.HE,Orion Oyj,9506911126.3003,Healthcare,9.1321441521,14.1381044034625,1889500000,227900000.0,2.67459138187221,EUR
92,BBOXT.L,Tritax Big Box Reit PLC,3839167781.39076,Real Estate,2.0045147049,22.6290783953108,327700000,164400000.0,5.66171266808209,GBp
93,SPL1.WA,Santander Bank Polska SA,59504320543.2962,Financials,346.6671024592,6.06250462462573,,1710489000.0,8.61130254996554,PLN
94,EDEN.PA,Edenred SE,3731079918.02518,Industrials,-3.865941558,3.59123523384204,2961000000,299000000.0,8.46055979643766,EUR
95,HOTG.DE,Hochtief AG,29328244620.0,Industrials,16.8524681677,14.4877086308705,38236464000,1263987000.0,1.74880763116057,EUR
96,TEGG.DE,TAG Immobilien AG,2429098991.85,Real Estate,18.0719687107,24.1630779818341,489134000,-225944000.0,3.11284046692607,EUR
97,AG1G.DE,AUTO1 Group SE,3427354792.32,Technology,,24.8784185993747,8172600000,,0.0,EUR
98,ASSAb.ST,Assa Abloy AB,350083648407.054,Consumer Cyclicals,91.4648858096,13.2051987503445,152409000000,11294000000.0,1.93587416817907,SEK
99,GIVN.S,Givaudan SA,24496703658.0,Basic Materials,491.7389589051,16.2265268457998,7472000000,490000000.0,2.71390878251037,CHF
100,PZU.WA,Powszechny Zaklad Ubezpieczen SA,54816440040.0,Financials,41.0860224972,16.0878106687025,,10137000000.0,7.04158790170132,PLN
101,IGG.L,IG Group Holdings PLC,4703281980.32,Financials,,6.49718507362562,674100000,,1.98868458274399,GBp
102,HIK.L,Hikma Pharmaceuticals PLC,2719793234.84,Healthcare,11.7549629245,5.85390035819295,3349000000,117000000.0,5.01583690528464,GBp
103,EONGn.DE,E.ON SE,48983257146.0,Utilities,7.3708381171,10.4158209795683,78704000000,-3163000000.0,3.07360474521434,EUR
104,MTO.L,Mitie Group PLC,2173603779.124,Industrials,0.3315827745,7.36420116165188,5082600000,128300000.0,2.66021765417171,GBp
105,BAES.L,BAE Systems PLC,61955035286.82,Industrials,3.9319319319,17.2141488736141,28336000000,1181000000.0,1.75616835994195,GBp
106,BP.L,BP PLC,91736131060.233,Energy,3.4036531723,5.09838707372833,189335000000,62000000.0,4.20457113507961,GBp
107,HOLMb.ST,Holmen AB,54181244283.83,Basic Materials,340.9279985665,15.1565496252346,22056000000,316000000.0,2.8494301139772,SEK
108,GTT.PA,Gaztransport et Technigaz SA,7405450373.55729,Energy,15.8784696534,12.5053102080571,803300000,115900000.0,4.48795180722892,EUR
109,INGP.WA,ING Bank Slaski SA,51883592846.928,Financials,163.9298427589,3.7612892543202,,1368000000.0,6.71949685534591,PLN
110,TEL.OL,Telenor ASA,228463774343.681,Technology,51.5117916754,9.22018288613666,76548000000,4129000000.0,5.832832230908,NOK
111,SHBa.ST,Svenska Handelsbanken AB,239742885529.545,Financials,100.6828282828,14.1016246806038,,-4230000000.0,14.6935348446683,SEK
112,CVO.PA,Covivio SA,5623461660.08527,Real Estate,77.7506169405,20.2956795247505,1422500000,338100000.0,7.45526838966203,EUR
113,GETIb.ST,Getinge publ AB,47063727907.6444,Healthcare,108.0515475273,8.20512970203583,34969000000,1778000000.0,2.57452574525745,SEK
114,STDM.PA,Sartorius Stedim Biotech SA,16084690802.5035,Healthcare,42.0426568624,19.9678415508373,2967500000,123600000.0,0.418181818181818,EUR
115,BEAN.S,Belimo Holding AG,7705950000.0,Industrials,50.5553712719,28.1777613785215,1120813000,16305000.0,1.59616919393456,CHF
116,INVP.L,Investec PLC,5328356165.67388,Financials,6.6114942654,10.8046641049396,,244041000.0,6.57318141980719,GBp
117,PKN.WA,Orlen SA,151252148726.481,Energy,131.2313564661,4.01600114793025,267329000000,-11437000000.0,4.62036038811027,PLN
118,TW.L,Taylor Wimpey PLC,3078794921.15904,Consumer Cyclicals,1.182912358,6.38690677374261,3844600000,-221000000.0,8.79501385041551,GBp
119,PAFR.L,Pan African Resources PLC,2667944529.152,Basic Materials,0.2773331509,8.74252353998201,540033000,16505000.0,1.03829407294833,GBp
120,NN.AS,NN Group NV,17343063443.0613,Financials,79.479245283,22.1271684587813,,397000000.0,5.89307411907655,EUR
121,AKRBP.OL,Aker BP ASA,225008526935.89,Energy,17.7847976433,2.92361038751819,10943100000,-6061700000.0,6.82148489847716,NOK
122,IMCD.AS,IMCD NV,5032055531.27985,Basic Materials,34.5606904006,12.2163114345464,4778874000,213092000.0,2.12941176470588,EUR
123,THULE.ST,Thule Group AB,20488911007.9355,Consumer Cyclicals,67.0500927644,12.0352850873089,10429000000,238000000.0,4.38457474907554,SEK
124,IFXGn.DE,Infineon Technologies AG,48880628157.91,Technology,13.1080873309,13.9375328947408,14662000000,373000000.0,0.935078813785733,EUR
125,CAGR.PA,Credit Agricole SA,48096345370.1115,Financials,25.6544635772,-11.97526528257,,8255000000.0,7.12035286704474,EUR
126,HBANC.S,Helvetia Baloise Holding AG,20040957467.3996,Financials,78.1985699839,21.8157013669753,,150400000.0,3.33665338645418,CHF
127,TCFP.PA,Thales SA,49070380630.4774,Industrials,38.780198174,15.2843560504235,22136400000,1190200000.0,1.63934426229508,EUR
128,ABDN.L,Aberdeen Group PLC,3464889171.40969,Financials,2.8612040134,8.92782653433964,1341000000,245000000.0,7.7991452991453,GBp
129,VOPA.AS,Koninklijke Vopak NV,5322008993.24129,Energy,28.2876475857,12.0791319974751,1298900000,397900000.0,3.90455531453362,EUR
130,SECTb.ST,Sectra AB,39935482195.9996,Healthcare,9.94887617,,2067353000,564909000.0,0.960658737419945,SEK
131,BALDb.ST,Fastighets AB Balder,59381422286.4744,Real Estate,78.8844714339,22.7457816328584,13721000000,8033000000.0,0.0,SEK
132,GALE.S,Galenica AG,4447265526.77898,Healthcare,29.7298755857,15.675711279633,4135621000,129204000.0,2.82167042889391,CHF
133,SATG_p.DE,Sartorius AG,13957632000.0,Healthcare,39.2018334646,17.9376969927674,3538100000,157300000.0,0.357833655705996,EUR
134,SAABb.ST,Saab AB,317040534953.173,Industrials,80.7611766994,29.0178141663632,79146000000,1125000000.0,0.574615514618895,SEK
135,BARN.S,Barry Callebaut AG,7388002868.0,Consumer Non-Cyclicals,478.2448518804,12.2886999762862,14788581000,-22673000.0,2.15453194650817,CHF
136,REDE.MC,Redeia Corporacion SA,7700799238.50622,Utilities,9.718135682,10.813898421972,1659517000,-853423000.0,5.62983814215341,EUR
137,EMG.L,Man Group PLC,2862672935.078,Financials,1.3858789361,10.3062368251363,1405000000,7000000.0,5.10190499032547,GBp
138,ARDS.AS,Arcadis NV,2469316100.87311,Industrials,11.6265433086,7.17498061192399,3760000000,226000000.0,3.85179750550257,EUR
139,ROR.L,Rotork PLC,2565411937.47104,Industrials,0.6958602536,13.8427857485951,777300000,67400000.0,2.67569310122502,GBp
140,UTG.L,Unite Group PLC,2386470841.92,Real Estate,9.6754677491,20.1884366333334,332800000,-62000000.0,8.40017825311943,GBp
141,BVI.PA,Bureau Veritas SA,11864615855.3494,Industrials,3.8401137338,11.1511781794325,6466400000,332000000.0,3.52490421455939,EUR
142,CFR.S,Compagnie Financiere Richemont SA,74213207386.45,Consumer Cyclicals,37.6666098517,17.1380567426166,21399000000,2431000000.0,2.17312567910178,CHF
143,KGX.DE,Kion Group AG,5861955547.96,Industrials,46.5133485889,6.48475705297331,11297200000,896300000.0,1.3876454789615,EUR
144,SRP.L,Serco Group PLC,2895076431.04246,Industrials,0.8630705394,8.24532137668735,4876800000,290600000.0,1.56358582348853,GBp
145,SGE.L,Sage Group PLC,7608447737.44663,Technology,0.736196319,13.4910523172142,2513000000,193000000.0,2.69354043392505,GBp
146,ADYEN.AS,Adyen NV,27021931742.2934,Technology,167.7303114486,13.3540708346726,2671641000,1072581000.0,,EUR
147,HNKG_p.DE,Henkel AG & Co KGaA,28031040630.0,Basic Materials,49.4561775073,7.75522356620635,20495000000,1176000000.0,3.09973045822102,EUR
148,AENA.MC,Aena SME SA,38445000000.0,Industrials,6.137638,11.5280500265926,6278337000,418799000.0,4.25282871634803,EUR
149,OMVV.VI,OMV AG,20076876633.5899,Energy,49.9434802612,4.81621907620802,24308000000,-2424000000.0,7.18367346938776,EUR
150,RHMG.DE,Rheinmetall AG,64225940197.5,Industrials,110.7427055703,31.3479027725061,9935000000,323000000.0,0.833635375135919,EUR
151,FOUG.PA,Eiffage SA,12696170640.8483,Industrials,79.4570102195,6.32326244755475,26119000000,1020000000.0,3.71086200231929,EUR
152,BPTB.L,Bridgepoint Group PLC,1988328974.57538,Financials,1.2036521949,13.8370701876573,629900000,-2400000.0,4.1740674955595,GBp
153,PSN.L,Persimmon PLC,3467061752.57732,Consumer Cyclicals,11.2905342081,6.79112457445231,3751300000,74200000.0,5.58139534883721,GBp
154,MRON.L,Melrose Industries PLC,6179791428.65643,Industrials,2.2224842767,10.1758244584273,3589000000,583000000.0,1.46341463414634,GBp
155,ALSO.PA,Alstom SA,10920999537.1444,Industrials,23.3253802495,8.93363139215157,18489000000,396000000.0,0.0,EUR
156,TPRO.MI,Technoprobe SpA,9284302507.83297,Technology,1.9128276276,42.7154349844517,628380000,64566000.0,,EUR
157,LHAG.DE,Deutsche Lufthansa AG,8819526409.83,Industrials,9.7209288962,3.78216882974518,39597000000,-875000000.0,4.48735382104977,EUR
158,DRX.L,Drax Group PLC,2880076518.455,Energy,4.8560090703,3.95453972139225,5355400000,-76900000.0,3.38983050847458,GBp
159,BCVN.S,Banque Cantonale Vaudoise,10895436540.0,Financials,46.2808855053,24.6317672360779,,,3.47551342812006,CHF
160,EQNR.OL,Equinor ASA,1027069577570.4,Energy,15.5892788276,3.11813059643114,105828000000,-3890000000.0,3.60321135175504,NOK
161,BKGH.L,Berkeley Group Holdings PLC,3244730614.9785,Consumer Cyclicals,34.6621226874,5.92644905175062,2486500000,133000000.0,1.95919653061225,GBp
162,BAWG.VI,BAWAG Group AG,9701784158.59843,Financials,62.1097511153,21.9720628975467,,405500000.0,4.96820349761526,EUR
163,RAND.AS,Randstad NV,4037962555.83864,Industrials,22.8367579909,5.70653911185883,23077000000,243000000.0,7.07114797031864,EUR
164,ANTO.L,Antofagasta PLC,32198079658.7,Basic Materials,10.5188715561,9.72215308729335,8620300000,-367700000.0,1.46230477818288,GBp
165,VOWG_p.DE,Volkswagen AG,43918586794.8,Consumer Cyclicals,375.5810497789,5.19380566113309,321913000000,18533000000.0,6.08233117483811,EUR
166,OREP.PA,L'Oreal SA,187116914481.106,Consumer Non-Cyclicals,65.4902398779,17.9346568279605,44052000000,2379200000.0,2.05714285714286,EUR
167,R3NK.DE,RENK Group AG,4701000000.0,Industrials,4.84749,23.8003669003473,1366170000,99993000.0,1.23378004679855,EUR
168,ICAG.L,International Consolidated Airlines Group SA,16107861768.128,Industrials,1.6178866452,3.22384053850686,33213000000,2057000000.0,2.41031398537348,GBp
169,REP.MC,Repsol SA,26648066871.9043,Energy,22.2084805654,5.02479713580292,54861000000,-389000000.0,4.36643124221022,EUR
170,LDOF.MI,Leonardo SpA,32786188678.0584,Industrials,16.5750071085,14.0307524613779,19503000000,874000000.0,1.11268103143766,EUR
171,ADP.PA,Aeroports de Paris SA,10208919877.2865,Industrials,44.0221388724,8.38290678599562,6704000000,-163000000.0,2.9126213592233,EUR
172,IBE.MC,Iberdrola SA,129446392321.199,Utilities,8.7092838283,12.4018153010607,44076000000,1950000000.0,3.46296238954248,EUR
173,DCC.L,DCC PLC,3935685149.31073,Consumer Non-Cyclicals,31.0745361711,5.8439491153003,18011111000,172722000.0,4.57682234831951,GBp
174,WEIR.L,Weir Group PLC,7189169718.69656,Industrials,7.3848837209,13.9045604486068,2564500000,191600000.0,1.51416122004357,GBp
175,NKT.CO,Nkt A/S,42976036000.0,Industrials,40.9511956237,12.3041301303255,3565000000,-287000000.0,0.0,DKK
176,UU.L,United Utilities Group PLC,8838044457.36848,Utilities,2.9328347265,13.7307137430487,2011400000,-612500000.0,4.06904577191622,GBp
177,ALKb.CO,ALK-Abello A/S,40984861278.4251,Healthcare,29.0562751749,20.3329484787018,6312000000,1155000000.0,0.792079207920792,DKK
178,CONG.DE,Continental AG,11988358621.02,Consumer Cyclicals,19.7892121932,4.57861638612065,19676000000,-736000000.0,4.5045045045045,EUR
179,TBCG.L,TBC Bank Group PLC,2279225833.7,Financials,110.6334474817,3.47062174084272,,,6.02021628464229,GBp
180,ABF.L,Associated British Foods PLC,13013130843.72,Consumer Non-Cyclicals,15.2748618785,6.11680793006982,19459000000,151000000.0,3.4257748776509,GBp
181,SVT.L,Severn Trent PLC,9067352832.2291,Utilities,5.9125208681,14.6778457615131,2426700000,-1265000000.0,4.1212020033389,GBp
182,ALFA.ST,Alfa Laval AB,208419558654.659,Industrials,105.0235562061,15.4804742034358,69674000000,,1.79140127388535,SEK
183,DHER.DE,Delivery Hero SE,4988279881.74,Technology,5.4900936557,11.4191787877504,14059600000,-620900000.0,0.0,EUR
184,ORSTED.CO,Oersted A/S,189171164398.912,Utilities,158.9906282635,9.67214474796027,73244000000,-41416000000.0,0.0,DKK
185,EVKn.DE,Evonik Industries AG,7656380000.0,Basic Materials,17.4034334764,5.96756256800871,14069000000,-26000000.0,6.08642726719416,EUR
186,FREG.DE,Fresenius SE & Co KGaA,24624733750.44,Healthcare,33.9182093913,9.85853319430111,22873000000,545000000.0,2.40164684354986,EUR
187,SECUb.ST,Securitas AB,85423545638.6054,Industrials,68.1302222283,7.83596192768209,155113000000,4399000000.0,3.40288924558587,SEK
188,TEL2b.ST,Tele2 AB,130213236555.597,Technology,32.1212354992,11.8646752209609,29890000000,2672000000.0,5.54675118858954,SEK
189,JYSK.CO,Jyske Bank A/S,52735263707.5313,Financials,868.3498497751,26.4296268107986,,3125000000.0,2.92056074766355,DKK
190,AALB.AS,Aalberts NV,3237494603.52977,Industrials,22.2600472327,7.99170801319932,3090800000,28100000.0,3.84358288770053,EUR
191,GJFG.OL,Gjensidige Forsikring ASA,121381976762.2,Financials,56.6199661774,17.896800082313,,2002400000.0,5.99669148056245,NOK
192,MANTA.HE,Mandatum Oyj,3382851805.00278,Financials,2.8430659239,17.6961230677682,,-173200000.0,12.6638855780691,EUR
193,RIO.L,Rio Tinto PLC,113119210042.16,Basic Materials,38.3023399015,7.33702455390437,57638000000,-1654000000.0,4.44375752435905,GBp
194,HLN.L,Haleon PLC,32941942302.6229,Healthcare,1.8286573146,14.2256496130546,11030000000,1015000000.0,1.93513218860725,GBp
195,ALLFG.AS,Allfunds Group PLC,5024780672.03547,Technology,,1.73941322557761,621900000,,1.57074340527578,EUR
196,EDPR.LS,EDP Renovaveis SA,13779589776.988,Utilities,9.9307603494,12.4021974445578,2267000000,1324000000.0,0.641711229946524,EUR
